,time_iter_pso_c7
0,19.79789972305298
1,12.114254713058472
2,11.699908018112183
3,12.843411445617676
4,13.271306991577148
5,13.072823762893677
6,13.324097871780396
7,12.248741388320923
8,10.492693424224854
9,10.292871713638306
10,10.707505226135254
11,10.347241163253784
12,9.933334350585938
13,10.921716451644897
14,11.647214651107788
15,9.570283651351929
16,10.609912395477295
17,9.054248571395874
18,9.399940967559814
19,9.697585821151733
20,10.449104070663452
21,11.723943710327148
22,11.005577087402344
23,9.702061891555786
24,10.669918060302734
25,10.446190357208252
26,10.405075788497925
27,10.1548011302948
28,10.516943454742432
29,10.258222818374634
30,10.780484437942505
31,10.779489517211914
32,9.816872119903564
33,9.579309463500977
34,9.443092823028564
35,9.795629262924194
36,11.181921482086182
37,10.546488523483276
38,9.975763320922852
39,11.023541688919067
40,10.654221773147583
41,10.723785161972046
42,10.260251998901367
43,10.15805196762085
44,10.815241813659668
45,10.70361876487732
46,10.772073030471802
47,9.893038749694824
48,9.875920057296753
49,9.943253993988037
50,9.73301362991333
51,10.008054733276367
52,9.252558469772339
53,9.645456552505493
54,9.306963682174683
55,10.137788534164429
56,10.019079446792603
57,9.788020849227905
58,9.363105058670044
59,9.273634910583496
60,9.168665409088135
61,9.704709768295288
62,9.544502019882202
63,9.815623044967651
64,9.681029796600342
65,9.540251016616821
66,9.21156907081604
67,9.765273809432983
68,9.768380403518677
69,9.701023578643799
70,9.570216655731201
71,9.535893678665161
72,9.57640790939331
73,9.85380220413208
74,9.556859970092773
75,9.988958835601807
76,9.616415023803711
77,9.422093868255615
78,9.381581544876099
79,9.190906763076782
80,9.689777851104736
81,9.566577196121216
82,9.494675397872925
83,9.579628467559814
84,9.445187330245972
85,9.888378620147705
86,9.726598024368286
87,10.431606531143188
88,10.488654613494873
89,10.7533278465271
90,10.202350378036499
91,10.491179704666138
92,10.253853797912598
93,9.67673110961914
94,9.790485382080078
95,9.930825471878052
96,9.997944831848145
97,10.526362895965576
98,9.674040794372559
99,9.524291753768921
100,14.658763408660889
101,9.7345552444458
102,9.957208633422852
103,11.073233842849731
104,10.15290093421936
105,9.58120346069336
106,9.661516904830933
107,9.892982482910156
108,10.550896883010864
109,9.602000713348389
110,10.488712549209595
111,10.376354455947876
112,9.694890975952148
113,9.559030294418335
114,9.262157678604126
115,9.419727087020874
116,9.151237487792969
117,9.38227391242981
118,9.549474239349365
119,9.789110660552979
120,10.87831425666809
