,time_iter_cmbo_c2
0,57.979103326797485
1,55.80906891822815
2,54.751261711120605
3,58.387837171554565
4,56.35116267204285
5,49.002506256103516
6,58.37680673599243
7,60.942455768585205
8,57.30404090881348
9,63.35847997665405
10,60.13506054878235
11,63.53281855583191
12,68.31557178497314
13,66.71512007713318
14,70.19801759719849
15,60.02012753486633
16,57.229581117630005
17,56.232932567596436
18,61.442158699035645
19,60.20891284942627
20,63.15692591667175
21,62.61132764816284
22,67.2565016746521
23,70.0131402015686
24,60.86796164512634
25,53.71401000022888
26,63.292409896850586
27,62.74052596092224
28,57.649327754974365
29,56.40608286857605
30,72.33631420135498
31,60.497702836990356
32,61.15402913093567
33,61.80471324920654
34,59.567787647247314
35,60.83693218231201
36,66.46800088882446
37,58.3740451335907
38,60.74988389015198
39,61.46259045600891
40,54.01207232475281
41,62.47930431365967
42,63.63916301727295
43,55.95932483673096
44,64.27324652671814
45,63.309024810791016
46,55.32763671875
47,63.7540488243103
48,56.235936641693115
49,71.20241594314575
50,66.0025429725647
51,75.68970537185669
52,76.96641135215759
53,58.628294706344604
54,69.19873857498169
55,62.37799596786499
56,72.78647875785828
57,59.99243879318237
58,64.73561787605286
59,67.26893377304077
60,64.4912097454071
61,64.41503167152405
62,57.291802167892456
63,64.60013198852539
64,61.76804208755493
65,73.17480945587158
66,65.41378712654114
67,60.240339040756226
68,59.12686467170715
69,62.47954320907593
70,56.556225061416626
71,51.127811431884766
72,57.44467377662659
73,54.59397864341736
74,53.29641342163086
75,56.47698140144348
76,57.80485677719116
77,52.466516971588135
78,54.88538146018982
79,61.731375217437744
80,50.74718475341797
81,53.13413333892822
82,62.12224793434143
83,51.633790731430054
84,56.95074415206909
85,66.0337278842926
86,55.01995515823364
87,53.58706760406494
88,61.65894818305969
89,55.93189072608948
90,54.104750871658325
91,63.2623770236969
92,62.649322509765625
93,60.711692333221436
94,59.52844738960266
95,49.66278696060181
96,53.30561017990112
97,62.4246563911438
98,54.04365825653076
99,52.12618398666382
100,88.90575814247131
101,56.12356472015381
102,59.06243109703064
103,65.14086389541626
104,54.28185534477234
105,60.40663528442383
106,66.17392325401306
107,53.248584270477295
108,58.94025731086731
109,58.81572771072388
110,55.299434661865234
111,62.01648807525635
112,50.292322397232056
113,42.39868116378784
114,44.243560552597046
115,50.42552375793457
116,45.19109487533569
117,42.77412724494934
118,46.64025354385376
119,45.67041635513306
120,42.51643347740173
121,49.01628279685974
122,43.703598499298096
123,45.186360359191895
124,49.92932176589966
125,46.07196593284607
126,43.52780818939209
127,46.91527056694031
128,49.057831048965454
129,42.42125940322876
130,43.08484077453613
131,46.135270833969116
132,52.26729607582092
133,44.34272766113281
134,47.92908215522766
135,55.985732555389404
136,48.08921504020691
137,55.74941539764404
138,52.90862274169922
139,48.72389554977417
140,43.44236469268799
141,46.237682819366455
142,50.481959104537964
143,43.934765577316284
144,45.167261600494385
145,47.45577359199524
146,42.913450717926025
147,45.797165393829346
148,50.49018979072571
149,44.156720876693726
150,42.37182426452637
151,44.76279091835022
152,49.07070255279541
153,44.02158164978027
154,42.53844118118286
155,46.44746375083923
156,48.97364401817322
157,42.256871938705444
158,45.2201189994812
159,50.10383176803589
160,44.40392184257507
161,42.88295841217041
162,42.672351121902466
163,50.20507025718689
164,44.16093349456787
165,42.87017035484314
166,47.2179913520813
167,48.341121196746826
168,41.89353561401367
169,45.72667860984802
170,51.78974771499634
171,43.8902063369751
172,49.53756904602051
173,51.99628186225891
174,49.9386088848114
175,43.822757959365845
176,42.88280940055847
177,52.108413219451904
178,51.993534564971924
179,49.47657036781311
180,44.981078147888184
181,50.21637439727783
182,61.188159227371216
183,53.00246262550354
184,42.02326536178589
185,49.64186668395996
186,49.76188659667969
187,44.19193649291992
188,43.305354595184326
189,45.8587532043457
190,51.14097332954407
191,44.29950666427612
192,42.67905902862549
193,47.79224491119385
194,51.191837549209595
195,43.33909273147583
196,41.98410701751709
197,48.24182891845703
198,51.509929180145264
199,43.63729524612427
200,55.76552772521973
201,47.87330675125122
202,42.417845010757446
203,42.874157428741455
204,46.36085915565491
205,42.51994466781616
206,47.36847519874573
207,46.31606578826904
208,42.80880808830261
209,47.041075706481934
210,43.13130068778992
211,43.16014790534973
212,48.18497610092163
213,46.819549798965454
214,45.28271770477295
215,50.44390535354614
216,45.01172399520874
217,51.45371222496033
218,45.732771158218384
219,43.29232740402222
220,47.929871559143066
221,43.43088626861572
222,43.95431327819824
223,49.635377407073975
224,52.10881304740906
225,54.698177337646484
226,53.201499223709106
227,51.98457312583923
228,53.715553998947144
229,52.746477365493774
230,55.70712900161743
231,61.77681040763855
232,65.52160906791687
233,51.00241446495056
234,51.0065553188324
235,50.84813451766968
236,50.41559553146362
237,51.083441495895386
238,50.62132239341736
239,50.86062717437744
